file,issue_type,details
2002/ftiff02-indx.html,missing_director,No Director listed in film-credits
2002/ftiff02-indx.html,missing_imdb_link,No IMDB link in film card
2002/ftiff02-indx.html,missing_poster_reference,No poster image reference found
2002/ftiff02.html,empty_content,Article body has only 1 <p> tag(s)
2002/ftiff02.html,missing_director,No Director listed in film-credits
2002/ftiff02.html,missing_imdb_link,No IMDB link in film card
2002/ftiff02.html,missing_poster_reference,No poster image reference found
2002/ftiff02.html,thin_content,Modern content is 25% of legacy length (103 vs 402 chars)
2002/ftime.html,missing_director,No Director listed in film-credits
2002/ftime.html,missing_imdb_link,No IMDB link in film card
2002/ftime.html,missing_poster_reference,No poster image reference found
2002/ftopten.html,missing_imdb_link,No IMDB link in film card
2002/ftopten.html,missing_poster_reference,No poster image reference found
2002/ftopten.html,thin_content,Modern content is 7% of legacy length (1647 vs 23448 chars)
2002/ftroma.html,missing_director,No Director listed in film-credits
2002/ftroma.html,missing_imdb_link,No IMDB link in film card
2002/ftroma.html,missing_poster_reference,No poster image reference found
