file,issue_type,details
2001/fdown.html,missing_imdb_link,No IMDB link in film card
2001/fdown.html,missing_poster_reference,No poster image reference found
2001/fevolution.html,missing_director,No Director listed in film-credits
2001/fevolution.html,missing_imdb_link,No IMDB link in film card
2001/fevolution.html,missing_poster_reference,No poster image reference found
2001/ffamous.html,missing_director,No Director listed in film-credits
2001/ffamous.html,missing_imdb_link,No IMDB link in film card
2001/ffamous.html,missing_poster_reference,No poster image reference found
2001/ffromhell.html,empty_content,Article body has only 1 <p> tag(s)
2001/ffromhell.html,missing_director,No Director listed in film-credits
2001/ffromhell.html,missing_imdb_link,No IMDB link in film card
2001/ffromhell.html,missing_poster_reference,No poster image reference found
2001/ffromhell.html,thin_content,Modern content is 17% of legacy length (106 vs 601 chars)
2001/fharry.html,missing_imdb_link,No IMDB link in film card
2001/fharry.html,missing_poster_reference,No poster image reference found
2001/fheavy.html,empty_content,Article body has only 1 <p> tag(s)
2001/fheavy.html,missing_director,No Director listed in film-credits
2001/fheavy.html,missing_imdb_link,No IMDB link in film card
2001/fheavy.html,missing_poster_reference,No poster image reference found
2001/fheavy.html,thin_content,Modern content is 14% of legacy length (100 vs 679 chars)
2001/fjackpot.html,missing_director,No Director listed in film-credits
2001/fjackpot.html,missing_imdb_link,No IMDB link in film card
2001/fjackpot.html,missing_poster_reference,No poster image reference found
2001/fknight.html,missing_director,No Director listed in film-credits
2001/fknight.html,missing_imdb_link,No IMDB link in film card
2001/fknight.html,missing_poster_reference,No poster image reference found
2001/fknight2.html,missing_director,No Director listed in film-credits
2001/fknight2.html,missing_imdb_link,No IMDB link in film card
2001/fknight2.html,missing_poster_reference,No poster image reference found
2001/fkubrick.html,missing_director,No Director listed in film-credits
2001/fkubrick.html,missing_imdb_link,No IMDB link in film card
2001/fkubrick.html,missing_poster_reference,No poster image reference found
2001/flastdance.html,missing_director,No Director listed in film-credits
2001/flastdance.html,missing_imdb_link,No IMDB link in film card
2001/flastdance.html,missing_poster_reference,No poster image reference found
2001/flie.html,missing_director,No Director listed in film-credits
2001/flie.html,missing_imdb_link,No IMDB link in film card
2001/flie.html,missing_poster_reference,No poster image reference found
2001/flifedebt.html,missing_director,No Director listed in film-credits
2001/flifedebt.html,missing_imdb_link,No IMDB link in film card
2001/flifedebt.html,missing_poster_reference,No poster image reference found
2001/fmade.html,missing_director,No Director listed in film-credits
2001/fmade.html,missing_imdb_link,No IMDB link in film card
2001/fmade.html,missing_poster_reference,No poster image reference found
2001/fmansfield.html,missing_imdb_link,No IMDB link in film card
2001/fmansfield.html,missing_poster_reference,No poster image reference found
2001/fmulholland.html,missing_director,No Director listed in film-credits
2001/fmulholland.html,missing_imdb_link,No IMDB link in film card
2001/fmulholland.html,missing_poster_reference,No poster image reference found
2001/foscar01-1.html,missing_imdb_link,No IMDB link in film card
2001/foscar01-1.html,missing_poster_reference,No poster image reference found
2001/foscar01-2.html,missing_imdb_link,No IMDB link in film card
2001/foscar01-2.html,missing_poster_reference,No poster image reference found
2001/foscar01.html,empty_content,Article body has only 1 <p> tag(s)
2001/foscar01.html,missing_director,No Director listed in film-credits
2001/foscar01.html,missing_imdb_link,No IMDB link in film card
2001/foscar01.html,missing_poster_reference,No poster image reference found
2001/foscar01.html,thin_content,Modern content is 14% of legacy length (64 vs 430 chars)
2001/fothers.html,missing_director,No Director listed in film-credits
2001/fothers.html,missing_imdb_link,No IMDB link in film card
2001/fothers.html,missing_poster_reference,No poster image reference found
2001/fotik.html,empty_content,Article body has only 1 <p> tag(s)
2001/fotik.html,missing_director,No Director listed in film-credits
2001/fotik.html,missing_imdb_link,No IMDB link in film card
2001/fotik.html,missing_poster_reference,No poster image reference found
2001/fotik.html,thin_content,Modern content is 10% of legacy length (84 vs 776 chars)
2001/fpanic.html,missing_imdb_link,No IMDB link in film card
2001/fpanic.html,missing_poster_reference,No poster image reference found
2001/fpollock.html,missing_director,No Director listed in film-credits
2001/fpollock.html,missing_imdb_link,No IMDB link in film card
2001/fpollock.html,missing_poster_reference,No poster image reference found
2001/fpordenone-1.html,missing_director,No Director listed in film-credits
2001/fpordenone-1.html,missing_imdb_link,No IMDB link in film card
2001/fpordenone-1.html,missing_poster_reference,No poster image reference found
2001/fpordenone-2.html,missing_director,No Director listed in film-credits
2001/fpordenone-2.html,missing_imdb_link,No IMDB link in film card
2001/fpordenone-2.html,missing_poster_reference,No poster image reference found
2001/fpordenone-3.html,missing_director,No Director listed in film-credits
2001/fpordenone-3.html,missing_imdb_link,No IMDB link in film card
2001/fpordenone-3.html,missing_poster_reference,No poster image reference found
2001/fpordenone-4.html,missing_imdb_link,No IMDB link in film card
2001/fpordenone-4.html,missing_poster_reference,No poster image reference found
2001/fpordenone-5.html,missing_director,No Director listed in film-credits
2001/fpordenone-5.html,missing_imdb_link,No IMDB link in film card
2001/fpordenone-5.html,missing_poster_reference,No poster image reference found
2001/fpordenone-6.html,missing_director,No Director listed in film-credits
2001/fpordenone-6.html,missing_imdb_link,No IMDB link in film card
2001/fpordenone-6.html,missing_poster_reference,No poster image reference found
2001/fpordenone-7.html,missing_director,No Director listed in film-credits
2001/fpordenone-7.html,missing_imdb_link,No IMDB link in film card
2001/fpordenone-7.html,missing_poster_reference,No poster image reference found
2001/fpordenone-8.html,missing_director,No Director listed in film-credits
2001/fpordenone-8.html,missing_imdb_link,No IMDB link in film card
2001/fpordenone-8.html,missing_poster_reference,No poster image reference found
2001/fpordenone-9.html,missing_director,No Director listed in film-credits
2001/fpordenone-9.html,missing_imdb_link,No IMDB link in film card
2001/fpordenone-9.html,missing_poster_reference,No poster image reference found
2001/fpordenone.html,missing_director,No Director listed in film-credits
2001/fpordenone.html,missing_imdb_link,No IMDB link in film card
2001/fpordenone.html,missing_poster_reference,No poster image reference found
2001/fpordenone.html,thin_content,Modern content is 41% of legacy length (421 vs 1019 chars)
2001/fprincess.html,missing_director,No Director listed in film-credits
2001/fprincess.html,missing_imdb_link,No IMDB link in film card
2001/fprincess.html,missing_poster_reference,No poster image reference found
2001/fptff01.html,missing_director,No Director listed in film-credits
2001/fptff01.html,missing_imdb_link,No IMDB link in film card
2001/fptff01.html,missing_poster_reference,No poster image reference found
2001/fratcatcher.html,missing_director,No Director listed in film-credits
2001/fratcatcher.html,missing_imdb_link,No IMDB link in film card
2001/fratcatcher.html,missing_poster_reference,No poster image reference found
2001/fratrace.html,missing_director,No Director listed in film-credits
2001/fratrace.html,missing_imdb_link,No IMDB link in film card
2001/fratrace.html,missing_poster_reference,No poster image reference found
2001/frudolph.html,missing_director,No Director listed in film-credits
2001/frudolph.html,missing_imdb_link,No IMDB link in film card
2001/frudolph.html,missing_poster_reference,No poster image reference found
2001/fscary2.html,missing_director,No Director listed in film-credits
2001/fscary2.html,missing_imdb_link,No IMDB link in film card
2001/fscary2.html,missing_poster_reference,No poster image reference found
2001/fseries7.html,missing_imdb_link,No IMDB link in film card
2001/fseries7.html,missing_poster_reference,No poster image reference found
2001/fsexy.html,missing_director,No Director listed in film-credits
2001/fsexy.html,missing_imdb_link,No IMDB link in film card
2001/fsexy.html,missing_poster_reference,No poster image reference found
2001/fshadow.html,missing_director,No Director listed in film-credits
2001/fshadow.html,missing_imdb_link,No IMDB link in film card
2001/fshadow.html,missing_poster_reference,No poster image reference found
2001/fsidewalk.html,missing_director,No Director listed in film-credits
2001/fsidewalk.html,missing_imdb_link,No IMDB link in film card
2001/fsidewalk.html,missing_poster_reference,No poster image reference found
2001/fsiff01-1.html,missing_imdb_link,No IMDB link in film card
2001/fsiff01-1.html,missing_poster_reference,No poster image reference found
2001/fsiff01-2.html,missing_imdb_link,No IMDB link in film card
2001/fsiff01-2.html,missing_poster_reference,No poster image reference found
2001/fsiff01.html,missing_director,No Director listed in film-credits
2001/fsiff01.html,missing_imdb_link,No IMDB link in film card
2001/fsiff01.html,missing_poster_reference,No poster image reference found
2001/fsiff01.html,thin_content,Modern content is 42% of legacy length (215 vs 510 chars)
2001/fsnatch.html,missing_director,No Director listed in film-credits
2001/fsnatch.html,missing_imdb_link,No IMDB link in film card
2001/fsnatch.html,missing_poster_reference,No poster image reference found
2001/fsomeone.html,missing_director,No Director listed in film-credits
2001/fsomeone.html,missing_imdb_link,No IMDB link in film card
2001/fsomeone.html,missing_poster_reference,No poster image reference found
2001/fstartup.html,missing_director,No Director listed in film-credits
2001/fstartup.html,missing_imdb_link,No IMDB link in film card
2001/fstartup.html,missing_poster_reference,No poster image reference found
2001/fsugar.html,missing_director,No Director listed in film-credits
2001/fsugar.html,missing_imdb_link,No IMDB link in film card
2001/fsugar.html,missing_poster_reference,No poster image reference found
2001/ftiff01-2.html,missing_director,No Director listed in film-credits
2001/ftiff01-2.html,missing_imdb_link,No IMDB link in film card
2001/ftiff01-2.html,missing_poster_reference,No poster image reference found
2001/ftiff01.html,missing_imdb_link,No IMDB link in film card
2001/ftiff01.html,missing_poster_reference,No poster image reference found
2001/fwedding.html,missing_director,No Director listed in film-credits
2001/fwedding.html,missing_imdb_link,No IMDB link in film card
2001/fwedding.html,missing_poster_reference,No poster image reference found
2001/rai.html,thin_content,Modern content is 46% of legacy length (2802 vs 6007 chars)
2001/ranimal.html,thin_content,Modern content is 49% of legacy length (2323 vs 4666 chars)
2001/rblonde.html,thin_content,Modern content is 43% of legacy length (2143 vs 4971 chars)
2001/rblowdry.html,thin_content,Modern content is 46% of legacy length (3017 vs 6439 chars)
2001/rbridget.html,missing_director,No Director listed in film-credits
2001/rbridget.html,missing_imdb_link,No IMDB link in film card
2001/rbridget.html,missing_poster_reference,No poster image reference found
2001/rcapcor.html,missing_director,No Director listed in film-credits
2001/rcapcor.html,missing_imdb_link,No IMDB link in film card
2001/rcapcor.html,missing_poster_reference,No poster image reference found
